spearman	pearson	pv_s	pv_p
0.8906824239328908	0.8877842426483677	6.715607347606637e-23	1.4456799221573787e-22
0.89047635874651	0.8874672654957377	7.096901483870702e-23	1.5701324035695114e-22
0.8908426968556312	0.8870823600367234	6.432774338748485e-23	1.735170289595885e-22
0.8911632427011124	0.8868211693389088	5.901153993911614e-23	1.856552209147357e-22
0.8900642283737487	0.8864347089434	7.923052326564377e-23	2.051276311016208e-22
0.8893544482873262	0.8861260143926104	9.567789360414413e-23	2.220814329135684e-22
0.8893544482873262	0.8859289313697987	9.567789360414413e-23	2.336032545694129e-22
0.8887591488600042	0.8856407625700382	1.1196677391199793e-22	2.514926557718589e-22
0.886973250578038	0.8853104701742801	1.7849160500876513e-22	2.736218111450582e-22
0.8865611202052766	0.8851096882516725	1.9855116107403327e-22	2.8797858815918505e-22
